"STATION","NAME","DATE","SNWD","TMAX","TMIN"
"UKE00107650","HEATHROW, UK","2023-01-01","0.0","10.0","9.0"
"UKE00107650","HEATHROW, UK","2023-01-02","0.0","13.4","5.2"
"UKE00107650","HEATHROW, UK","2023-01-03","0.0","13.9","2.1"
"UKE00107650","HEATHROW, UK","2023-01-04","0.0","13.5","9.2"
"UKE00107650","HEATHROW, UK","2023-01-05","0.0","12.7","8.9"
"UKE00107650","HEATHROW, UK","2023-01-06","0.0","11.4","6.3"
"UKE00107650","HEATHROW, UK","2023-01-07","0.0","9.5","6.7"
"UKE00107650","HEATHROW, UK","2023-01-08","0.0","9.6","6.5"
"UKE00107650","HEATHROW, UK","2023-01-09","0.0","13.0","4.4"
"UKE00107650","HEATHROW, UK","2023-01-10","0.0","12.2","3.9"
"UKE00107650","HEATHROW, UK","2023-01-11","0.0","12.7","6.8"
"UKE00107650","HEATHROW, UK","2023-01-12","0.0","11.5","7.2"
"UKE00107650","HEATHROW, UK","2023-01-13","0.0","12.6","7.2"
"UKE00107650","HEATHROW, UK","2023-01-14","0.0","8.2","6.0"
"UKE00107650","HEATHROW, UK","2023-01-15","0.0","5.3","3.8"
"UKE00107650","HEATHROW, UK","2023-01-16","0.0","0.8","2.7"
"UKE00107650","HEATHROW, UK","2023-01-17","0.0","5.2","-5.0"
"UKE00107650","HEATHROW, UK","2023-01-18","0.0","5.6","-3.8"
"UKE00107650","HEATHROW, UK","2023-01-19","0.0","6.3","-2.7"
"UKE00107650","HEATHROW, UK","2023-01-20","0.0","6.2","-1.3"
"UKE00107650","HEATHROW, UK","2023-01-21","0.0","3.7","-1.4"
"UKE00107650","HEATHROW, UK","2023-01-22","0.0","5.2","-4.7"
"UKE00107650","HEATHROW, UK","2023-01-23","0.0","5.0","-8.4"
"UKE00107650","HEATHROW, UK","2023-01-24","0.0","6.1","-5.1"
"UKE00107650","HEATHROW, UK","2023-01-25","0.0","8.0","-3.3"
"UKE00107650","HEATHROW, UK","2023-01-26","0.0","7.3","-0.6"
"UKE00107650","HEATHROW, UK","2023-01-27","0.0","6.2","3.9"
"UKE00107650","HEATHROW, UK","2023-01-28","0.0","8.9","1.7"
"UKE00107650","HEATHROW, UK","2023-01-29","0.0","9.9","3.5"
"UKE00107650","HEATHROW, UK","2023-01-30","0.0","12.5","5.0"
"UKE00107650","HEATHROW, UK","2023-01-31","0.0","10.4","3.3"
"UKE00107650","HEATHROW, UK","2023-02-01","0.0","11.4","4.3"
"UKE00107650","HEATHROW, UK","2023-02-02","0.0","13.6","6.0"
"UKE00107650","HEATHROW, UK","2023-02-03","0.0","9.4","7.7"
"UKE00107650","HEATHROW, UK","2023-02-04","0.0","8.9","8.1"
"UKE00107650","HEATHROW, UK","2023-02-05","0.0","11.6","3.3"
"UKE00107650","HEATHROW, UK","2023-02-06","0.0","8.8","0.8"
"UKE00107650","HEATHROW, UK","2023-02-07","0.0","8.3","-1.7"
"UKE00107650","HEATHROW, UK","2023-02-08","0.0","10.9","-3.9"
"UKE00107650","HEATHROW, UK","2023-02-09","0.0","9.1","-2.0"
"UKE00107650","HEATHROW, UK","2023-02-10","0.0","10.3","-1.9"
"UKE00107650","HEATHROW, UK","2023-02-11","0.0","8.7","1.2"
"UKE00107650","HEATHROW, UK","2023-02-12","0.0","12.6","7.1"
"UKE00107650","HEATHROW, UK","2023-02-13","0.0","12.2","3.1"
"UKE00107650","HEATHROW, UK","2023-02-14","0.0","15.6","-0.2"
"UKE00107650","HEATHROW, UK","2023-02-15","0.0","13.4","1.2"
"UKE00107650","HEATHROW, UK","2023-02-16","0.0","15.2","6.0"
"UKE00107650","HEATHROW, UK","2023-02-17","0.0","12.8","9.3"
"UKE00107650","HEATHROW, UK","2023-02-18","0.0","13.8","10.3"
"UKE00107650","HEATHROW, UK","2023-02-19","0.0","13.8","6.4"
"UKE00107650","HEATHROW, UK","2023-02-20","0.0","9.8","5.9"
"UKE00107650","HEATHROW, UK","2023-02-21","0.0","9.7","7.5"
"UKE00107650","HEATHROW, UK","2023-02-22","0.0","8.9","5.7"
"UKE00107650","HEATHROW, UK","2023-02-23","0.0","10.7","5.8"
"UKE00107650","HEATHROW, UK","2023-02-24","0.0","8.2","-1.3"
"UKE00107650","HEATHROW, UK","2023-02-25","0.0","8.2","3.3"
"UKE00107650","HEATHROW, UK","2023-02-26","0.0","8.7","1.2"
"UKE00107650","HEATHROW, UK","2023-02-27","0.0","8.0","0.1"
"UKE00107650","HEATHROW, UK","2023-02-28","0.0","8.6","1.2"
"UKE00107650","HEATHROW, UK","2023-03-01","0.0","9.6","4.0"
"UKE00107650","HEATHROW, UK","2023-03-02","0.0","6.9","1.5"
"UKE00107650","HEATHROW, UK","2023-03-03","0.0","7.2","3.5"
"UKE00107650","HEATHROW, UK","2023-03-04","0.0","5.4","4.6"
"UKE00107650","HEATHROW, UK","2023-03-05","0.0","10.1","3.2"
"UKE00107650","HEATHROW, UK","2023-03-06","0.0","5.7","0.3"
"UKE00107650","HEATHROW, UK","2023-03-07","0.0","3.8","1.9"
"UKE00107650","HEATHROW, UK","2023-03-08","0.0","11.6","0.5"
"UKE00107650","HEATHROW, UK","2023-03-09","0.0","5.6","1.4"
"UKE00107650","HEATHROW, UK","2023-03-10","0.0","10.1","2.7"
"UKE00107650","HEATHROW, UK","2023-03-11","0.0","14.2","-2.2"
"UKE00107650","HEATHROW, UK","2023-03-12","0.0","14.5","3.2"
"UKE00107650","HEATHROW, UK","2023-03-13","0.0","10.3","9.9"
"UKE00107650","HEATHROW, UK","2023-03-14","0.0","10.2","4.1"
"UKE00107650","HEATHROW, UK","2023-03-15","0.0","14.0","0.0"
"UKE00107650","HEATHROW, UK","2023-03-16","0.0","15.2","4.1"
"UKE00107650","HEATHROW, UK","2023-03-17","0.0","15.4","10.0"
"UKE00107650","HEATHROW, UK","2023-03-18","0.0","11.1","8.9"
"UKE00107650","HEATHROW, UK","2023-03-19","0.0","13.3","5.9"
"UKE00107650","HEATHROW, UK","2023-03-20","0.0","14.8","7.6"
"UKE00107650","HEATHROW, UK","2023-03-21","0.0","15.8","8.8"
"UKE00107650","HEATHROW, UK","2023-03-22","0.0","15.5","10.2"
"UKE00107650","HEATHROW, UK","2023-03-23","0.0","14.6","8.8"
"UKE00107650","HEATHROW, UK","2023-03-24","0.0","14.9","7.5"
"UKE00107650","HEATHROW, UK","2023-03-25","0.0","9.2","7.5"
"UKE00107650","HEATHROW, UK","2023-03-26","0.0","11.9","6.3"
"UKE00107650","HEATHROW, UK","2023-03-27","0.0","11.0","4.1"
"UKE00107650","HEATHROW, UK","2023-03-28","0.0","14.0","4.3"
"UKE00107650","HEATHROW, UK","2023-03-29","0.0","16.5","7.0"
"UKE00107650","HEATHROW, UK","2023-03-30","0.0","15.3","10.3"
"UKE00107650","HEATHROW, UK","2023-03-31","0.0","11.9","9.9"
"UKE00107650","HEATHROW, UK","2023-04-01","0.0","11.6","8.8"
"UKE00107650","HEATHROW, UK","2023-04-02","0.0","12.3","6.5"
"UKE00107650","HEATHROW, UK","2023-04-03","0.0","14.9","1.2"
"UKE00107650","HEATHROW, UK","2023-04-04","0.0","14.3","0.3"
"UKE00107650","HEATHROW, UK","2023-04-05","0.0","15.0","4.3"
"UKE00107650","HEATHROW, UK","2023-04-06","0.0","15.9","8.7"
"UKE00107650","HEATHROW, UK","2023-04-07","0.0","15.9","4.1"
"UKE00107650","HEATHROW, UK","2023-04-08","0.0","16.4","3.9"
"UKE00107650","HEATHROW, UK","2023-04-09","0.0","16.0","5.3"
"UKE00107650","HEATHROW, UK","2023-04-10","0.0","13.3","10.1"
"UKE00107650","HEATHROW, UK","2023-04-11","0.0","12.2","5.9"
"UKE00107650","HEATHROW, UK","2023-04-12","0.0","14.0","4.8"
"UKE00107650","HEATHROW, UK","2023-04-13","0.0","10.6","5.8"
"UKE00107650","HEATHROW, UK","2023-04-14","0.0","16.0","3.6"
"UKE00107650","HEATHROW, UK","2023-04-15","0.0","16.1","6.7"
"UKE00107650","HEATHROW, UK","2023-04-16","0.0","17.5","7.7"
"UKE00107650","HEATHROW, UK","2023-04-17","0.0","13.2","10.4"
"UKE00107650","HEATHROW, UK","2023-04-18","0.0","16.7","7.5"
"UKE00107650","HEATHROW, UK","2023-04-19","0.0","16.2","7.8"
"UKE00107650","HEATHROW, UK","2023-04-20","0.0","11.4","4.3"
"UKE00107650","HEATHROW, UK","2023-04-21","0.0","14.6","6.3"
"UKE00107650","HEATHROW, UK","2023-04-22","0.0","15.3","3.0"
"UKE00107650","HEATHROW, UK","2023-04-23","0.0","12.8","8.4"
"UKE00107650","HEATHROW, UK","2023-04-24","0.0","12.4","5.8"
"UKE00107650","HEATHROW, UK","2023-04-25","0.0","11.5","2.4"
"UKE00107650","HEATHROW, UK","2023-04-26","0.0","15.1","4.8"
"UKE00107650","HEATHROW, UK","2023-04-27","0.0","18.6","5.5"
"UKE00107650","HEATHROW, UK","2023-04-28","0.0","19.1","9.5"
"UKE00107650","HEATHROW, UK","2023-04-29","0.0","17.8","6.2"
"UKE00107650","HEATHROW, UK","2023-04-30","0.0",,"6.1"
"UKE00156884","WISLEY, UK","2023-01-01",,"9.4","10.4"
"UKE00156884","WISLEY, UK","2023-01-02",,"13.3","5.2"
"UKE00156884","WISLEY, UK","2023-01-03",,"13.6","-0.2"
"UKE00156884","WISLEY, UK","2023-01-04",,"13.7","9.4"
"UKE00156884","WISLEY, UK","2023-01-05",,"12.5","10.1"
"UKE00156884","WISLEY, UK","2023-01-06",,"11.2","5.7"
"UKE00156884","WISLEY, UK","2023-01-07",,"9.7","6.2"
"UKE00156884","WISLEY, UK","2023-01-08",,"9.3","5.8"
"UKE00156884","WISLEY, UK","2023-01-09",,"12.8","4.8"
"UKE00156884","WISLEY, UK","2023-01-10",,"12.2","4.0"
"UKE00156884","WISLEY, UK","2023-01-11",,"12.3","6.9"
"UKE00156884","WISLEY, UK","2023-01-12",,"11.2","7.0"
"UKE00156884","WISLEY, UK","2023-01-13",,"12.3","7.3"
"UKE00156884","WISLEY, UK","2023-01-14",,"9.0","6.0"
"UKE00156884","WISLEY, UK","2023-01-15",,"5.2","3.8"
"UKE00156884","WISLEY, UK","2023-01-16",,"0.0","2.7"
"UKE00156884","WISLEY, UK","2023-01-17",,"5.1","-6.4"
"UKE00156884","WISLEY, UK","2023-01-18",,"5.8","-5.6"
"UKE00156884","WISLEY, UK","2023-01-19",,"5.8","-2.5"
"UKE00156884","WISLEY, UK","2023-01-20",,"5.9","-1.9"
"UKE00156884","WISLEY, UK","2023-01-21",,"0.4","-4.4"
"UKE00156884","WISLEY, UK","2023-01-22",,"3.3","-6.0"
"UKE00156884","WISLEY, UK","2023-01-23",,"4.9","-8.2"
"UKE00156884","WISLEY, UK","2023-01-24",,"5.6","-5.6"
"UKE00156884","WISLEY, UK","2023-01-25",,"7.5","-3.3"
"UKE00156884","WISLEY, UK","2023-01-26",,"7.6","-0.8"
"UKE00156884","WISLEY, UK","2023-01-27",,"6.1","3.6"
"UKE00156884","WISLEY, UK","2023-01-28",,"8.7","-1.5"
"UKE00156884","WISLEY, UK","2023-01-29",,"9.6","1.3"
"UKE00156884","WISLEY, UK","2023-01-30",,"12.2","5.1"
"UKE00156884","WISLEY, UK","2023-01-31",,"10.8","1.6"
"UKE00156884","WISLEY, UK","2023-02-01",,"11.4","3.9"
"UKE00156884","WISLEY, UK","2023-02-02",,"12.9","5.7"
"UKE00156884","WISLEY, UK","2023-02-03",,"9.2","7.6"
"UKE00156884","WISLEY, UK","2023-02-04",,"8.7","7.9"
"UKE00156884","WISLEY, UK","2023-02-05",,"11.7","2.4"
"UKE00156884","WISLEY, UK","2023-02-06",,"7.6","-1.8"
"UKE00156884","WISLEY, UK","2023-02-07",,"8.3","-3.6"
"UKE00156884","WISLEY, UK","2023-02-08",,"9.4","-5.8"
"UKE00156884","WISLEY, UK","2023-02-09",,"8.7","-3.9"
"UKE00156884","WISLEY, UK","2023-02-10",,"10.2","-3.3"
"UKE00156884","WISLEY, UK","2023-02-11",,"8.4","0.6"
"UKE00156884","WISLEY, UK","2023-02-12",,"13.1","6.3"
"UKE00156884","WISLEY, UK","2023-02-13",,"13.1","2.0"
"UKE00156884","WISLEY, UK","2023-02-14",,"15.2","-1.8"
"UKE00156884","WISLEY, UK","2023-02-15",,"12.7","-0.7"
"UKE00156884","WISLEY, UK","2023-02-16",,"14.2","5.3"
"UKE00156884","WISLEY, UK","2023-02-17",,"13.5","9.0"
"UKE00156884","WISLEY, UK","2023-02-18",,"14.0","10.4"
"UKE00156884","WISLEY, UK","2023-02-19",,"13.5","5.7"
"UKE00156884","WISLEY, UK","2023-02-20",,"9.1","5.4"
"UKE00156884","WISLEY, UK","2023-02-21",,"9.7","8.0"
"UKE00156884","WISLEY, UK","2023-02-22",,"8.6","4.7"
"UKE00156884","WISLEY, UK","2023-02-23",,"9.1","5.6"
"UKE00156884","WISLEY, UK","2023-02-24",,"8.2","-2.2"
"UKE00156884","WISLEY, UK","2023-02-25",,"7.6","2.3"
"UKE00156884","WISLEY, UK","2023-02-26",,"8.7","0.3"
"UKE00156884","WISLEY, UK","2023-02-27",,"7.5","-4.4"
"UKE00156884","WISLEY, UK","2023-02-28",,"8.0","-2.9"
"UKE00156884","WISLEY, UK","2023-03-01",,"9.3","1.8"
"UKE00156884","WISLEY, UK","2023-03-02",,"6.7","-2.1"
"UKE00156884","WISLEY, UK","2023-03-03",,"6.9","3.5"
"UKE00156884","WISLEY, UK","2023-03-04",,"5.2","4.5"
"UKE00156884","WISLEY, UK","2023-03-05",,"10.0","2.3"
"UKE00156884","WISLEY, UK","2023-03-06",,"4.9","0.8"
"UKE00156884","WISLEY, UK","2023-03-07",,"4.0","1.6"
"UKE00156884","WISLEY, UK","2023-03-08",,"11.1","-0.7"
"UKE00156884","WISLEY, UK","2023-03-09",,"5.2","1.2"
"UKE00156884","WISLEY, UK","2023-03-10",,"9.6","2.8"
"UKE00156884","WISLEY, UK","2023-03-11",,"13.4","-3.7"
"UKE00156884","WISLEY, UK","2023-03-12",,"14.0","1.5"
"UKE00156884","WISLEY, UK","2023-03-13",,"10.5","9.6"
"UKE00156884","WISLEY, UK","2023-03-14",,"10.0","4.6"
"UKE00156884","WISLEY, UK","2023-03-15",,"13.9","-1.7"
"UKE00156884","WISLEY, UK","2023-03-16",,"15.3","4.3"
"UKE00156884","WISLEY, UK","2023-03-17",,"13.8","10.0"
"UKE00156884","WISLEY, UK","2023-03-18",,"10.7","9.3"
"UKE00156884","WISLEY, UK","2023-03-19",,"11.9","4.5"
"UKE00156884","WISLEY, UK","2023-03-20",,"14.4","7.3"
"UKE00156884","WISLEY, UK","2023-03-21",,"14.7","8.5"
"UKE00156884","WISLEY, UK","2023-03-22",,"15.4","9.9"
"UKE00156884","WISLEY, UK","2023-03-23",,"13.9","9.1"
"UKE00156884","WISLEY, UK","2023-03-24",,"14.8","7.9"
"UKE00156884","WISLEY, UK","2023-03-25",,"9.9","7.6"
"UKE00156884","WISLEY, UK","2023-03-26",,"11.4","5.9"
"UKE00156884","WISLEY, UK","2023-03-27",,"10.7","3.1"
"UKE00156884","WISLEY, UK","2023-03-28",,"14.0","3.8"
